,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.9966,0.6084,0.5305,0.4872,0.4939,0.4836,0.4633,0.2310,0.2157,0.1930,0.1747,0.1483,0.0074
1,0.6125,0.9840,0.9303,0.8915,0.8762,0.8589,0.8379,0.4579,0.4464,0.4036,0.3842,0.3291,0.0098
2,0.5320,0.9092,0.9760,0.9487,0.9265,0.9148,0.8894,0.5258,0.5067,0.4704,0.4540,0.3954,0.0433
3,0.4871,0.8650,0.9353,0.9712,0.9439,0.9383,0.9176,0.5618,0.5405,0.5086,0.4939,0.4327,0.0718
4,0.4740,0.8357,0.9034,0.9404,0.9650,0.9422,0.9336,0.5835,0.5638,0.5293,0.5246,0.4583,0.0884
5,0.4624,0.8187,0.8889,0.9250,0.9312,0.9655,0.9325,0.6118,0.5911,0.5582,0.5481,0.4906,0.1030
6,0.4408,0.7931,0.8574,0.8955,0.9140,0.9248,0.9632,0.6017,0.5900,0.5510,0.5477,0.4801,0.1545
7,0.3073,0.5848,0.6629,0.7127,0.7265,0.7628,0.7639,0.9424,0.9236,0.8933,0.8722,0.8136,0.0558
8,0.2812,0.5608,0.6318,0.6778,0.6926,0.7261,0.7365,0.9018,0.9318,0.8972,0.8776,0.8093,0.1548
9,0.2409,0.4822,0.5617,0.6125,0.6204,0.6589,0.6554,0.8674,0.8931,0.9370,0.9118,0.8593,0.2172
10,0.2103,0.4433,0.5209,0.5696,0.5866,0.6203,0.6238,0.8322,0.8573,0.8944,0.9373,0.8880,0.3085
11,0.1723,0.3705,0.4411,0.4860,0.4969,0.5385,0.5292,0.7830,0.7933,0.8407,0.8792,0.9464,0.3262
12,-0.0035,-0.0022,0.0345,0.0602,0.0634,0.0806,0.1058,-0.0459,0.0048,0.0490,0.1238,0.1690,0.9175
