,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.9978,0.6263,0.5347,0.5069,0.5097,0.4966,0.4840,0.2983,0.2840,0.2557,0.2345,0.1940,0.0045
1,0.6302,0.9884,0.9441,0.9171,0.9134,0.8929,0.8779,0.5832,0.5705,0.5133,0.4894,0.4081,0.0233
2,0.5373,0.9302,0.9825,0.9655,0.9546,0.9413,0.9206,0.6435,0.6255,0.5705,0.5481,0.4621,0.0468
3,0.5135,0.9011,0.9608,0.9791,0.9646,0.9542,0.9365,0.6640,0.6431,0.5886,0.5652,0.4761,0.0557
4,0.5049,0.8864,0.9445,0.9615,0.9743,0.9548,0.9485,0.6651,0.6466,0.5842,0.5671,0.4718,0.0699
5,0.4852,0.8603,0.9255,0.9442,0.9460,0.9734,0.9424,0.6886,0.6677,0.6134,0.5892,0.5057,0.0928
6,0.4656,0.8316,0.8908,0.9113,0.9246,0.9294,0.9665,0.6747,0.6633,0.6020,0.5883,0.4931,0.1514
7,0.3740,0.6912,0.7643,0.7904,0.7942,0.8273,0.8340,0.9280,0.9077,0.8639,0.8365,0.7471,0.1105
8,0.3448,0.6636,0.7271,0.7493,0.7581,0.7875,0.8037,0.8773,0.9128,0.8658,0.8431,0.7468,0.2166
9,0.3052,0.5884,0.6536,0.6802,0.6764,0.7170,0.7198,0.8508,0.8796,0.9239,0.8892,0.8113,0.2712
10,0.2765,0.5502,0.6126,0.6370,0.6385,0.6740,0.6856,0.8101,0.8415,0.8783,0.9196,0.8492,0.3742
11,0.2237,0.4496,0.5052,0.5275,0.5198,0.5670,0.5637,0.7412,0.7576,0.8088,0.8486,0.9211,0.3819
12,0.0039,0.0166,0.0473,0.0586,0.0674,0.0908,0.1233,-0.0069,0.0526,0.0983,0.1786,0.2169,0.9183
