,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.9962,0.5961,0.5494,0.5008,0.4908,0.4775,0.4637,0.1343,0.1257,0.1201,0.1130,0.1031,0.0164
1,0.6328,0.9830,0.9380,0.8994,0.8723,0.8481,0.8279,0.2808,0.2768,0.2620,0.2568,0.2333,0.0034
2,0.5424,0.9184,0.9763,0.9530,0.9299,0.9103,0.8826,0.3396,0.3341,0.3227,0.3189,0.2940,0.0421
3,0.4981,0.8773,0.9403,0.9758,0.9493,0.9377,0.9111,0.3820,0.3756,0.3678,0.3637,0.3399,0.0660
4,0.4824,0.8552,0.9123,0.9485,0.9706,0.9463,0.9284,0.3972,0.3914,0.3817,0.3836,0.3550,0.0797
5,0.4673,0.8354,0.8941,0.9349,0.9411,0.9660,0.9278,0.4213,0.4151,0.4070,0.4056,0.3827,0.0828
6,0.4514,0.8149,0.8676,0.9055,0.9251,0.9263,0.9537,0.4060,0.4051,0.3951,0.3997,0.3714,0.1291
7,0.2553,0.4932,0.5543,0.6083,0.6318,0.6700,0.6785,0.9310,0.9256,0.9154,0.9049,0.8682,-0.0336
8,0.2332,0.4779,0.5340,0.5838,0.6083,0.6450,0.6606,0.9051,0.9162,0.9046,0.8949,0.8541,0.0187
9,0.2048,0.4215,0.4835,0.5377,0.5593,0.6013,0.6125,0.8896,0.8984,0.9221,0.9154,0.8904,0.0943
10,0.1836,0.3966,0.4574,0.5126,0.5428,0.5809,0.5998,0.8580,0.8665,0.8872,0.9136,0.8944,0.1755
11,0.1589,0.3429,0.3999,0.4553,0.4792,0.5266,0.5376,0.8207,0.8241,0.8473,0.8775,0.9161,0.2108
12,0.0132,-0.0167,0.0121,0.0339,0.0370,0.0501,0.0742,-0.1422,-0.1248,-0.0961,-0.0454,-0.0084,0.8264
